Serial,EventId,InvestigationType,AccidentNumber,EventDate,Location,Country,Latitude,Longitude,AirportCode,AirportName,InjurySeverity,AircraftDamage,AircraftCategory,RegistrationNumber,Make,Model,AmateurBuilt,NumberofEngines,EngineType,FARDescription,Schedule,PurposeofFlight,AirCarrier,TotalFatalInjuries,TotalSeriousInjuries,TotalMinorInjuries,TotalUninjured,WeatherCondition,BroadPhaseofFlight,ReportStatus,PublicationDate,Random
1,20190116X31758,Accident,ERA19WA088,1/1/2019,"Ubatuba, South America",South America,-23.458056,-45.063056,SDUB,Ubatuba Airport,Fatal(1),Substantial,Helicopter,,Robinson,R44,No,1,Reciprocating,"Non-U.S., Non-Commercial",,Aerial Observation,,1,,3,,VMC,CRUISE,Foreign,,0.70783699
2,20190107X60530,Accident,WPR19LA055,1/2/2019,"Townsend, MT",North America,46.289166,-111.519445,,N/A,Non-Fatal,Substantial,Airplane,N4934A,Cessna,180,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,2,,,VMC,MANEUVERING,Preliminary,3/7/2019,0.198249487
3,20190103X34023,Accident,WPR19LA054,1/2/2019,"Sacramento, CA",North America,38.600833,-121.503333,,N/A,Fatal(1),Substantial,Airplane,N24YD,Progressive Aerodyne,SEAREY,Yes,1,,Part 91: General Aviation,,Personal,,1,,1,,VMC,LANDING,Preliminary,2/4/2019,0.129714622
4,20190102X34406,Accident,GAA19CA124,1/2/2019,"Santa Maria Island, FL",North America,27.5,-82.746666,,N/A,Non-Fatal,Substantial,Helicopter,N772MG,Robinson,R44,No,1,Reciprocating,Part 91: General Aviation,,Aerial Observation,,,1,1,1,VMC,MANEUVERING,Factual,1/7/2020,0.582728048
5,20190102X85845,Accident,GAA19CA118,1/2/2019,"Appleton, MN",North America,45.2275,-96.004444,AQP,Appleton Muni,Non-Fatal,Substantial,Airplane,N12181,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,,1,VMC,LANDING,Probable Cause,11/6/2019,0.299729994
6,20190103X62753,Accident,GAA19CA117,1/3/2019,"Longmont, CO",North America,40.164167,-105.163611,LMO,VANCE BRAND,Non-Fatal,Substantial,Airplane,N89018,Piper,PA 18-135,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,LANDING,Probable Cause,9/26/2019,0.040415719
7,20190104X22004,Accident,GAA19CA116,1/3/2019,"Edgewood, NM",North America,35.094722,-106.164444,1N1,SANDIA AIRPARK ESTATES EAST,Non-Fatal,Substantial,Airplane,N6588R,Beech,24,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,3,VMC,LANDING,Factual,12/30/2019,0.117752689
8,20190107X61104,Accident,GAA19CA112,1/3/2019,"Prescott, AZ",North America,34.653333,-112.42,PRC,ERNEST A LOVE FIELD,Non-Fatal,Substantial,Airplane,N808JD,ZLIN,Savage,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Probable Cause,9/26/2019,0.954125311
9,20190125X54539,Accident,GAA19CA110,1/3/2019,"Grace, ID",North America,42.461944,-111.702222,,N/A,Non-Fatal,Substantial,Helicopter,N4246Z,Robinson,R44,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,MANEUVERING,Probable Cause,9/26/2019,0.372955801
10,20190104X82250,Accident,ERA19LA085,1/3/2019,"Wilkes-Barre, PA",North America,41,-75,WBW,Wilkes-Barre Wyoming Valley,Non-Fatal,Substantial,Airplane,N6872P,Piper,PA24,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,,2,VMC,APPROACH,Preliminary,2/11/2019,0.660421037
13,20190107X22748,Accident,GAA19CA127,1/5/2019,"Casa Grande, AZ",North America,32.954444,-111.765556,CGZ,Casa Grande Muni,Non-Fatal,Substantial,Airplane,N71155,Luscombe,8,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,1,1,,VMC,LANDING,Probable Cause,9/26/2019,0.042336299
14,20190417X55930,Accident,WPR19WA113,1/6/2019,"Lanseria, Africa",Africa,-25.943889,27.921667,,,Non-Fatal,Substantial,Airplane,,Cirrus,SR22,No,,,"Non-U.S., Non-Commercial",,,,,,,2,,LANDING,Foreign,,0.634420176
15,20190108X53436,Accident,WPR19WA059,1/6/2019,"Tooradin, Australia",Australia,-38.215556,145.423611,,,Non-Fatal,Substantial,Airplane,,Cessna,182,No,1,Reciprocating,"Non-U.S., Non-Commercial",,Skydiving,,,,,5,,TAKEOFF,Foreign,,0.759127435
16,20190122X30147,Accident,GAA19CA104,1/6/2019,"Bowling Green, OH",North America,41.391111,-83.630278,1G0,Wood County,Unavailable,Substantial,Airplane,N282BG,Piper,PA28,No,1,,Part 91: General Aviation,,Instructional,,,,,,,,Preliminary,2/5/2019,0.43647929
17,20190107X33741,Accident,CEN19LA059,1/6/2019,"Flint, MI",North America,42.969167,-83.755278,FNT,Bishop Intl,Non-Fatal,Substantial,Airplane,N1237M,Cessna,T210,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,4,VMC,CRUISE,Factual,5/9/2019,0.299429541
18,20190108X15531,Accident,WPR19LA058,1/7/2019,"Colusa, CA",North America,39.153056,-122.02,O08,Colusa County Airport,Fatal(2),Destroyed,Airplane,N100JB,Beech,A36,No,,Turbo Prop,Part 91: General Aviation,,Personal,,2,,,,IMC,TAKEOFF,Preliminary,2/4/2019,0.662277409
19,20190107X55813,Accident,ERA19LA080,1/7/2019,"Soddy-Daisy, TN",North America,35.328611,-85.055556,,N/A,Fatal(2),Destroyed,Airplane,N8849V,Bellanca,1730,No,1,Reciprocating,Part 91: General Aviation,,Personal,,2,,,,VMC,,Preliminary,2/8/2019,0.745325152
20,20190108X54945,Accident,CEN19LA065,1/8/2019,"Uvalde, TX",North America,29.210278,-99.743055,UVA,Garner Field,Non-Fatal,Substantial,Helicopter,N484AB,Robinson,R44,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,1,1,VMC,TAKEOFF,Factual,2/21/2019,0.497069646
21,20190110X01449,Accident,CEN19WA052,1/9/2019,"Regil, Europe",Europe,43.353889,-1.787777,,,Fatal(2),Destroyed,Airplane,,Piper,PA28R,No,,,"Non-U.S., Non-Commercial",,Personal,,2,,,,,CRUISE,Foreign,,0.30008836
22,20190111X94854,Accident,CEN19LA069,1/10/2019,"Port Lavaca, TX",North America,28.67,-96.680834,PKV,CALHOUN COUNTY,Non-Fatal,Substantial,Airplane,N2391S,Cessna,T210,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,APPROACH,Preliminary,3/7/2019,0.279164863
23,20190112X04503,Accident,WPR19TA061,1/11/2019,"Yuma, AZ",North America,32.619445,-114.645555,,N/A,Non-Fatal,Substantial,Helicopter,N88HC,Bell,206,No,1,Turbo Shaft,Part 137: Agricultural,,Other Work Use,,,1,,,VMC,MANEUVERING,Preliminary,2/4/2019,0.530141965
24,20190111X42705,Accident,CEN19LA068,1/11/2019,"Ponca City, OK",North America,36.725278,-97.101944,PNC,Ponca City Regional Airport,Non-Fatal,Substantial,Helicopter,N346AE,AEROSPATIALE,AS350,No,1,Turbo Shaft,Part 91: General Aviation,,Positioning,,,,,2,,LANDING,Preliminary,2/4/2019,0.354616101
25,20190112X11214,Accident,CEN19LA067,1/11/2019,"Belen, NM",North America,34.618889,-106.832778,,N/A,Non-Fatal,Substantial,Helicopter,N3755Z,Bell,47G,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,MANEUVERING,Factual,2/11/2019,0.949128336
26,20190112X64707,Accident,WPR19LA062,1/12/2019,"Langley, WA",North America,48.0325,-122.4375,W10,Whidbey Air Park,Fatal(1),Substantial,Airplane,N800KE,Vans,RV8,Yes,,,Part 91: General Aviation,,Personal,,1,1,,,VMC,APPROACH,Preliminary,2/7/2019,0.128436006
27,20190129X43210,Accident,ERA19WA092,1/12/2019,"Campinas do Sul County, South America",South America,-27.667778,-52.624723,,N/A,Fatal(1),Substantial,Airplane,,Piper,PA25,No,1,Reciprocating,"Non-U.S., Commercial",,,,1,,,,,TAKEOFF,Foreign,,0.199858576
28,20190112X63300,Accident,CEN19LA054,1/12/2019,"Uvalde, TX",North America,29.461389,-100.114167,01TX,Ox Ranch,Non-Fatal,Substantial,Airplane,N813WT,Canadair,CL 600 2A12,No,,,Part 91: General Aviation,,Business,,,,,9,VMC,LANDING,Preliminary,1/28/2019,0.502321162
29,20190113X82653,Accident,WPR19LA064,1/13/2019,"Port Hadlock, WA",North America,48.042222,-122.774723,,N/A,Non-Fatal,Substantial,Airplane,N5093C,Beech,35,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,1,,VMC,CLIMB,Preliminary,2/4/2019,0.036705992
30,20190113X75353,Accident,WPR19LA063,1/13/2019,"Kingman, AZ",North America,35.101944,-113.886111,,,Fatal(1),Substantial,Airplane,N9227D,Piper,PA22,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,1,,,UNK,UNKNOWN,Preliminary,2/26/2019,0.796843793
31,20190113X85423,Accident,CEN19LA066,1/13/2019,"Adrian, MI",North America,41.867778,-84.077223,ADG,Lenawee County Airport,Non-Fatal,Substantial,Airplane,N8892E,Piper,PA-32R-300,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,1,,VMC,APPROACH,Preliminary,2/19/2019,0.1519952
32,20190114X05720,Accident,CEN19LA053,1/13/2019,"Salem, SD",North America,43.618611,-97.381111,,N/A,Fatal(1),Substantial,Airplane,N75191,Piper,PA28,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,MANEUVERING,Preliminary,1/30/2019,0.325978633
33,20190115X54005,Accident,WPR19LA065,1/15/2019,"Salt Lake City, UT",North America,40.619445,-111.992777,U42,South Valley Regional Airport,Non-Fatal,Substantial,Airplane,N1697J,Piper,PA28,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,APPROACH,Preliminary,2/4/2019,0.021369121
34,20190119X92554,Accident,WPR19CA069,1/16/2019,"Townsend, MT",North America,46.308056,-111.537777,,N/A,Non-Fatal,Substantial,Airplane,N822TT,Champion,7GCBC,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Probable Cause,9/26/2019,0.386519767
35,20190117X24841,Accident,WPR19LA066,1/17/2019,"Ellensburg, WA",North America,46.947222,-120.512778,,N/A,Fatal(1),Substantial,Airplane,N14372,Piper,PA23,No,2,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,CRUISE,Preliminary,2/20/2019,0.372101073
